all like: 757
all boo: 60
like #1: kai6366 13
like #2: socialhero 9
like #3: maxxxxxx 5
like #4: lovegogi 4
like #5: mgochen 4
like #6: raywoor 4
like #7: ALOVET 3
like #8: ENCOREH33456 3
like #9: charlie90100 3
like #10: cityhunter04 3
boo #1: bryant0118 2
boo #2: mirac1e 2
boo #3: rich55720 2
boo #4: s8229926 2
boo #5: wglhe 2
boo #6: ClownT 1
boo #7: DY0206 1
boo #8: Geoffrey314 1
boo #9: JackLee5566 1
boo #10: KSWang 1
